,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
109,Palmer,0,AU,1536377400,48,-34.85,139.16,60.8,17.22
110,Huangmei,0,CN,1536378806,78,30.1,115.95,77.85,10.87
111,Merauke,8,ID,1536378807,65,-8.49,140.4,86.85,11.32
112,Doha,0,QA,1536375600,59,25.29,51.53,91.4,3.36
113,Rome,0,IT,1536376800,88,41.89,12.48,69.8,4.7
114,Hede,90,SE,1536376800,100,60.45,15.49,57.2,4.7
115,Gravdal,92,NO,1536376800,100,59.79,5.78,57.2,6.93
116,Yulara,0,AU,1536375600,15,-25.24,130.99,75.2,6.93
117,Oranjestad,20,AW,1536375600,78,12.52,-70.03,82.4,17.22
118,Genhe,0,CN,1536378808,47,50.78,121.52,40.05,13.78
119,Gappal,44,PH,1536378809,91,16.84,121.82,83.16,3.38
120,Nishihara,75,JP,1536375600,62,35.74,139.53,91.4,12.75
121,Rawlins,1,US,1536376200,4,41.79,-107.24,66.92,9.17
122,Coahuayana,44,MX,1536378810,93,18.62,-100.35,64.26,1.92
123,Newport,90,GB,1536376800,100,51.59,-3.0,59.0,5.82
124,Necochea,0,AR,1536378811,95,-38.55,-58.74,41.4,3.38
125,Saskylakh,88,RU,1536378811,81,71.97,114.09,37.53,5.39
126,Port Macquarie,40,AU,1536375600,56,-31.43,152.91,71.6,13.87
127,Luderitz,0,NA,1536378763,82,-26.65,15.16,49.95,16.91
128,Longyearbyen,75,NO,1536375000,100,78.22,15.63,37.4,8.05
129,Nhulunbuy,40,AU,1536377400,62,-12.18,136.78,84.2,8.05
130,Sumenep,0,ID,1536378813,92,-7.02,113.87,82.17,11.32
131,Salinopolis,92,BR,1536378814,97,-0.61,-47.36,80.73,12.21
132,Mount Gambier,76,AU,1536378814,79,-37.83,140.78,55.44,9.64
133,Awjilah,0,LY,1536378814,48,29.14,21.3,75.78,8.52
134,Vasto,76,IT,1536375000,100,42.12,14.71,60.8,5.82
135,Kuybyshevo,80,UA,1536378815,100,44.63,33.86,69.93,12.21
136,Nome,1,US,1536376500,86,30.04,-94.42,78.98,3.36
137,Lata,20,IN,1536378816,98,30.78,78.62,61.92,1.03
138,Komsomolskiy,92,RU,1536378780,100,67.55,63.78,41.22,14.79
139,Opuwo,0,NA,1536378816,75,-18.06,13.84,43.56,2.26
140,Urbana,90,US,1536378120,98,40.11,-88.21,67.1,10.29
141,Kavaratti,68,IN,1536378817,98,10.57,72.64,82.08,13.0
142,Ulladulla,90,AU,1536375600,59,-35.36,150.48,60.8,10.29
143,Isoka,0,ZM,1536378817,77,-10.15,32.64,59.4,8.86
144,Sao Filipe,48,CV,1536378818,100,14.9,-24.5,77.85,6.96
145,Atuona,68,PF,1536378818,100,-9.8,-139.03,78.75,15.79
146,San Carlos,92,VE,1536378819,95,9.66,-68.59,72.72,1.14
147,Bandarbeyla,0,SO,1536378819,78,9.49,50.81,72.72,21.94
148,Pevek,0,RU,1536378819,70,69.7,170.27,55.8,7.74
149,Misratah,0,LY,1536378820,93,32.38,15.09,80.73,12.33
150,Gornopravdinsk,0,RU,1536378820,79,60.06,69.92,49.86,3.71
151,Richards Bay,56,ZA,1536378820,99,-28.77,32.06,65.16,5.73
152,Ilabaya,0,PE,1536378821,76,-17.42,-70.51,48.15,0.69
153,Grand Gaube,40,MU,1536375600,68,-20.01,57.66,71.6,12.75
154,Cherdyn,92,RU,1536378821,96,60.4,56.48,53.28,6.73
155,Cayenne,0,GF,1536375600,100,4.94,-52.33,75.2,7.4
156,Mezen,56,RU,1536378822,89,65.85,44.24,44.82,2.71
157,Fortuna,20,ES,1536377400,68,38.18,-1.13,77.0,5.82
158,Victoria,75,BN,1536377400,79,5.28,115.24,87.8,5.82
159,Upernavik,0,GL,1536378823,100,72.79,-56.15,37.71,14.56
160,Tanout,12,NE,1536378824,93,14.97,8.88,69.12,3.27
161,Bonavista,0,CA,1536378824,95,48.65,-53.11,55.44,10.09
162,Puerto Carreno,24,CO,1536378824,98,6.19,-67.49,67.23,2.15
163,Chuy,0,UY,1536378824,92,-33.69,-53.46,53.1,9.98
164,Mitsamiouli,40,KM,1536375600,83,-11.38,43.28,75.2,6.93
165,Severo-Kurilsk,92,RU,1536378825,97,50.68,156.12,52.38,9.42
166,Petropavlovsk-Kamchatskiy,75,RU,1536375600,72,53.05,158.65,59.0,8.95
167,Kodiak,90,US,1536375600,96,39.95,-94.76,64.94,9.17
168,Provideniya,0,RU,1536378826,98,64.42,-173.23,49.14,8.63
169,Ozernovskiy,88,RU,1536378826,86,51.5,156.52,57.42,7.4
170,Outjo,0,NA,1536378827,77,-20.11,16.16,31.05,2.82
171,Bouca,88,CF,1536378827,96,6.51,18.28,69.48,3.04
172,Kavieng,32,PG,1536378744,100,-2.57,150.8,82.35,7.4
173,Abu Dhabi,0,AE,1536375600,84,24.47,54.37,89.6,2.24
174,Lebu,40,ET,1536375600,93,8.96,38.73,53.6,2.24
175,Rundu,0,NA,1536378828,32,-17.91,19.77,56.61,4.94
176,Lagoa,0,PT,1536377400,82,37.14,-8.45,62.6,5.82
177,Sharjah,0,AE,1536375600,55,25.36,55.39,89.6,3.36
178,Malanje,88,AO,1536378829,100,-9.54,16.35,63.9,2.71
179,Green River,1,US,1536375240,25,41.53,-109.47,69.08,11.41
180,Mar del Plata,0,AR,1536378830,62,-46.43,-67.52,45.09,12.21
181,Ahipara,8,NZ,1536378830,79,-35.17,173.16,58.86,16.69
182,Betanzos,0,ES,1536377400,93,43.28,-8.21,59.0,4.7
183,Kumluca,0,TR,1536378831,85,36.37,30.29,48.24,1.48
184,Sayyan,0,YE,1536378831,33,15.17,44.32,56.88,3.04
185,Grindavik,75,IS,1536375600,87,63.84,-22.43,50.0,28.86
186,Belvedere Marittimo,0,IT,1536378832,100,39.62,15.86,73.8,9.19
187,Shirokiy,0,RU,1536378832,72,53.87,39.17,49.68,3.49
188,Panubigan,20,PH,1536375600,70,7.13,122.25,87.8,6.93
189,Antofagasta,90,CL,1536375600,71,-23.65,-70.4,57.2,9.17
190,Tshela,12,CD,1536378833,86,-4.99,12.94,67.68,2.93
191,Hambantota,0,LK,1536378834,88,6.12,81.12,82.35,15.12
192,Jumla,0,NP,1536378834,88,29.28,82.18,46.8,2.04
193,Tasiilaq,92,GL,1536375000,87,65.61,-37.64,46.4,39.15
194,Contamana,0,PE,1536378835,78,-7.35,-75.01,77.4,1.7
195,Vila Velha,20,BR,1536375600,74,-3.71,-38.6,78.8,9.17
196,Dunedin,0,NZ,1536378835,73,-45.87,170.5,49.23,7.07
197,Biak,0,ID,1536378836,77,-0.91,122.88,83.16,7.52
198,Esperance,88,TT,1536375600,100,10.24,-61.45,77.0,5.28
199,Rosarito,40,CO,1536375600,100,4.91,-75.23,66.2,4.7
200,Shediac,20,CA,1536375600,81,46.22,-64.55,53.6,10.29
201,Tromso,0,NO,1536376800,93,69.65,18.96,42.8,4.7
202,Dingle,68,PH,1536378837,95,11.0,122.67,80.37,6.06
203,Jhang,40,PK,1536375600,74,33.67,72.7,82.4,6.93
204,Burladingen,0,DE,1536376800,87,48.29,9.11,53.6,3.36
205,Shingu,75,JP,1536375600,83,33.72,135.99,78.8,8.05
206,San Patricio,0,PY,1536378839,82,-26.98,-56.83,59.31,2.37
207,Tsabong,0,BW,1536378728,64,-26.02,22.4,37.26,12.66
208,Samarai,92,PG,1536378839,97,-10.62,150.67,78.75,16.58
209,Port Elizabeth,90,US,1536377280,88,39.31,-74.98,75.92,9.17
210,Vestmannaeyjar,64,IS,1536378840,87,63.44,-20.27,50.67,28.21
211,Kruisfontein,92,ZA,1536378840,100,-34.0,24.73,56.25,15.46
212,Antalaha,88,MG,1536378841,100,-14.9,50.28,70.2,8.3
213,Kiomboi,0,TZ,1536378841,85,-4.28,34.41,59.67,3.27
214,Aripuana,20,BR,1536378841,80,-9.17,-60.63,81.18,2.15
215,Pierre,1,US,1536375180,54,44.37,-100.35,69.08,16.11
216,Ponta do Sol,0,BR,1536378780,78,-20.63,-46.0,55.53,3.38
217,Hasaki,40,JP,1536375600,55,35.73,140.83,91.4,17.22
218,Aden,0,YE,1536378842,92,12.79,45.03,84.24,2.71
219,Kirakira,68,SB,1536378843,100,-10.46,161.92,79.47,17.47
220,Nantucket,90,US,1536377700,93,41.28,-70.1,66.92,8.41
221,Saldanha,48,PT,1536378843,86,41.42,-6.55,56.88,3.71
222,Lukovetskiy,75,RU,1536375600,93,64.29,41.92,50.0,4.47
223,Yar-Sale,88,RU,1536378758,100,66.83,70.83,45.45,13.0
224,Auki,12,NG,1536378844,96,12.18,6.51,68.22,7.4
225,College,1,US,1536375480,54,64.86,-147.8,55.94,10.29
226,Palora,56,EC,1536378845,83,-1.7,-77.97,61.02,1.03
227,Sistranda,0,NO,1536375000,63,63.73,8.83,60.8,19.46
228,Shenjiamen,88,CN,1536378845,100,29.96,122.3,76.32,14.67
229,Cherskiy,20,RU,1536378846,47,68.75,161.3,62.46,9.42
230,Codrington,48,AU,1536378846,80,-28.95,153.24,69.66,8.19
231,Pucallpa,0,PE,1536375600,78,-8.38,-74.54,77.0,3.36
232,Tabuk,36,PH,1536378847,82,17.41,121.44,77.76,0.69
233,Ajdabiya,0,LY,1536378847,52,30.75,20.22,68.85,2.93
234,Portland,40,US,1536376800,65,45.52,-122.67,69.08,4.7
235,Bathsheba,20,BB,1536375600,83,13.22,-59.52,80.6,9.17
236,Rosario,32,UY,1536378848,45,-34.31,-57.35,61.02,12.21
237,Esil,12,KZ,1536378848,88,51.96,66.41,51.12,6.06
238,Trincomalee,0,LK,1536378848,61,8.58,81.23,84.78,16.13
239,Dayong,44,PH,1536378849,100,11.74,122.04,81.45,12.1
240,Bethel,1,US,1536375180,49,60.79,-161.76,60.08,14.99
241,Chifeng,0,CN,1536378554,57,42.27,118.96,57.78,5.61
242,Hampton,90,AU,1536375600,56,-27.36,152.07,73.4,17.22
243,Qinzhou,92,CN,1536378851,89,21.96,108.62,70.83,13.78
244,Mackay,90,CA,1536376020,82,53.65,-115.58,62.6,2.48
245,Bayangol,0,MN,1536378852,72,48.91,106.09,60.03,4.27
246,Sola,0,FI,1536376800,93,62.78,29.36,53.6,5.82
247,Port-Gentil,76,GA,1536378853,100,-0.72,8.78,74.34,7.52
248,Iqaluit,75,CA,1536375600,86,63.75,-68.52,39.2,3.83
249,Nanortalik,92,GL,1536378853,99,60.14,-45.24,39.96,4.38
250,Raglan,0,NZ,1536378854,89,-37.8,174.87,56.88,23.73
251,San Cristobal,20,EC,1536375600,81,-0.39,-78.55,48.2,3.36
252,Souillac,0,FR,1536377400,93,45.6,-0.6,55.4,2.24
253,Kubachi,36,RU,1536378855,80,42.09,47.6,42.03,1.59
254,Carnarvon,92,ZA,1536378806,98,-30.97,22.13,33.12,11.54
255,Tura,24,IN,1536378855,87,25.52,90.21,82.44,3.94
256,Rabat,80,MA,1536378855,100,34.02,-6.83,66.24,1.92
257,Pontes e Lacerda,0,BR,1536378856,59,-15.23,-59.33,72.09,5.61
258,Qandala,0,SO,1536378856,75,11.47,49.87,71.1,1.92
259,Acapulco,75,MX,1536374520,74,16.86,-99.88,84.2,9.17
260,Flinders,90,AU,1536375600,59,-34.58,150.85,60.8,10.29
261,Balkanabat,56,TM,1536378857,27,39.51,54.36,73.53,7.52
262,Laguna,44,MX,1536378798,75,27.52,-110.01,82.08,5.17
263,Ossora,92,RU,1536378858,100,59.24,163.07,54.18,4.61
264,Mildura,20,AU,1536378672,63,-34.18,142.16,61.83,9.75
265,Salym,0,RU,1536378858,70,60.06,71.48,49.5,4.94
266,Mount Isa,0,AU,1536377400,15,-20.73,139.49,86.0,9.17
267,Bud,0,NO,1536376800,76,62.91,6.91,62.6,9.17
268,Calama,0,CL,1536375600,17,-22.46,-68.93,44.6,13.87
269,Touros,20,BR,1536378859,86,-5.2,-35.46,74.25,16.02
270,Torbay,5,CA,1536375600,81,47.66,-52.73,53.6,11.41
271,Yeniseysk,24,RU,1536378860,69,58.45,92.17,53.64,4.38
272,Altay,48,CN,1536378860,24,47.83,88.13,59.49,3.15
273,Halifax,20,CA,1536375600,63,44.65,-63.58,60.8,3.36
274,Te Anau,0,NZ,1536378861,57,-45.41,167.72,52.92,3.15
275,Tonota,76,BW,1536378862,56,-21.44,27.46,64.08,2.93
276,Rafai,68,CF,1536378862,99,4.95,23.92,68.13,2.15
277,Kuching,75,MY,1536377400,79,1.56,110.34,84.2,2.24
278,Ust-Kuyga,92,RU,1536378863,100,70.0,135.55,40.41,3.6
279,Chokurdakh,48,RU,1536378863,64,70.62,147.9,61.65,11.65
280,Constitucion,90,MX,1536374760,82,23.99,-104.67,64.4,2.93
281,Bria,24,CF,1536378864,94,6.54,21.99,61.92,2.26
282,Labuhan,32,ID,1536378864,65,-2.54,115.51,85.95,5.06
283,Vila,75,IT,1536376800,88,45.18,8.4,66.2,4.7
284,Sao Joao da Barra,0,BR,1536378865,100,-21.64,-41.05,70.47,7.52
285,Karcag,0,HU,1536376500,82,47.31,20.92,57.2,3.36
286,Sabzevar,0,IR,1536378865,40,36.21,57.68,55.26,4.27
287,Coquimbo,90,CL,1536375600,87,-29.95,-71.34,53.6,2.24
288,Pitimbu,40,BR,1536375600,88,-7.47,-34.81,71.6,5.82
289,Haimen,0,CN,1536378866,68,31.87,121.18,83.25,13.22
290,Nelson Bay,90,AU,1536377400,77,-32.72,152.14,62.6,14.99
291,Kamenka,0,RU,1536378867,76,53.19,44.05,45.99,3.15
292,Rocha,36,UY,1536378867,65,-34.48,-54.34,49.23,4.72
293,Luganville,0,VU,1536378868,100,-15.51,167.18,78.57,13.56
294,Erenhot,20,CN,1536378868,51,43.65,111.97,62.55,6.4
295,Wajir,75,KE,1536375600,78,1.75,40.07,71.6,4.7
296,Victor Harbor,0,AU,1536377400,48,-35.55,138.62,60.8,17.22
297,Port Alfred,0,ZA,1536378869,100,-33.59,26.89,52.47,16.91
298,Mazagao,0,BR,1536375600,83,-0.12,-51.29,80.6,2.24
299,Rio Grande,0,BR,1536378870,87,-32.03,-52.1,58.32,4.38
300,Saint-Augustin,0,FR,1536377400,100,44.83,-0.61,55.4,3.36
301,Yekaterinovka,80,RU,1536378870,89,46.69,38.75,62.01,19.48
302,Norsup,75,VU,1536375600,88,-16.07,167.38,71.6,9.17
303,Faya,0,SA,1536375600,74,18.39,42.45,69.8,1.81
304,Hofn,92,IS,1536378872,100,64.25,-15.21,48.15,14.56
305,Salalah,90,OM,1536375000,94,17.01,54.1,75.2,4.7
306,Sao Gabriel da Cachoeira,20,BR,1536378872,93,-0.13,-67.09,74.16,3.27
307,Moree,0,AU,1536378873,78,-29.46,149.84,68.67,10.54
308,Kharp,92,RU,1536378873,100,66.82,65.8,43.38,9.64
309,Poum,40,MK,1536377400,82,41.28,20.71,57.2,4.7
310,San Quintin,90,PH,1536375600,78,17.54,120.52,82.4,2.24
311,Chekmagush,44,RU,1536378874,85,55.14,54.65,52.38,2.82
312,Batemans Bay,88,AU,1536378874,90,-35.71,150.18,54.81,2.93
313,Saint-Francois,0,FR,1536377400,100,46.42,3.91,44.6,2.71
314,Hovd,0,NO,1536376800,81,63.83,10.7,60.8,12.75
315,Baft,0,IR,1536378875,34,29.23,56.61,54.09,4.05
316,Matara,36,PE,1536378875,65,-13.74,-72.9,40.68,1.7
317,Bongandanga,92,CD,1536378876,97,1.51,21.07,71.73,1.92
318,Riverton,1,US,1536376200,27,43.02,-108.38,69.98,8.05
319,Ilulissat,24,GL,1536375000,86,69.22,-51.1,33.8,3.04
320,Namibe,0,AO,1536378796,98,-15.19,12.15,62.55,0.36
321,Netanya,20,IL,1536376800,73,32.33,34.86,78.8,5.82
322,Vanavara,76,RU,1536378877,58,60.35,102.28,48.24,4.94
323,Charters Towers,48,AU,1536378877,81,-20.07,146.27,75.33,5.73
324,Burlington,90,CA,1536375600,63,43.32,-79.8,68.0,10.29
325,Pisco,40,PE,1536375600,87,-13.71,-76.2,60.8,5.82
326,Wanxian,0,CN,1536378878,69,30.8,108.39,72.18,2.93
327,Pozo Colorado,0,PY,1536378879,47,-23.49,-58.8,68.13,8.63
328,Mareeba,20,AU,1536377400,54,-16.99,145.42,84.2,13.87
329,Almaznyy,20,RU,1536378879,66,48.03,40.04,61.02,8.75
330,Ambilobe,0,MG,1536378880,79,-13.19,49.05,72.18,13.44
331,Egvekinot,8,RU,1536378721,75,66.32,-179.17,55.35,3.71
332,Vanimo,64,PG,1536378880,100,-2.67,141.3,78.84,4.94
333,Kahului,40,US,1536375360,74,20.89,-156.47,84.92,12.75
334,Singapore,75,MY,1536377400,88,1.29,103.85,80.6,3.36
335,Ust-Tsilma,92,RU,1536378881,90,65.44,52.15,44.55,8.97
336,Klaksvik,20,FO,1536376800,93,62.23,-6.59,51.8,5.82
337,Parksville,1,US,1536377700,84,33.79,-82.22,82.04,5.84
338,Jalu,0,LY,1536378882,46,29.03,21.55,70.65,3.49
339,Roebourne,0,AU,1536378883,20,-20.77,117.15,84.96,8.52
340,Oktyabrskiy,12,RU,1536375600,87,55.61,37.97,51.8,4.38
341,Drummondville,8,CA,1536378884,64,45.89,-72.5,57.96,7.74
342,Yurecuaro,44,MX,1536378884,88,20.33,-102.3,62.73,2.59
343,Nortelandia,0,BR,1536378884,77,-14.45,-56.8,65.43,2.71
344,Marawi,24,PH,1536378885,80,8.0,124.29,81.18,2.93
345,Muros,0,ES,1536377400,93,42.77,-9.06,59.0,6.93
346,Aviles,0,ES,1536377400,87,43.55,-5.92,60.8,4.7
347,Samus,0,RU,1536378885,73,56.74,84.7,59.04,3.6
348,Nuuk,75,GL,1536375000,93,64.17,-51.74,39.2,2.24
349,Evanston,1,US,1536377700,73,42.04,-87.69,68.0,13.87
350,Namatanai,12,PG,1536378886,98,-3.66,152.44,84.33,1.14
351,Naryan-Mar,48,RU,1536378887,100,67.67,53.09,42.3,8.86
352,Am Timan,32,TD,1536378887,96,11.04,20.28,68.94,2.93
353,Srednekolymsk,0,RU,1536378887,49,67.46,153.71,67.95,8.63
354,Belmonte,0,PT,1536378794,90,40.36,-7.35,50.58,2.48
355,Ancud,92,CL,1536378727,96,-41.87,-73.83,42.66,2.59
356,Genthin,0,DE,1536378888,89,52.41,12.16,47.43,6.4
357,Meulaboh,20,ID,1536378889,100,4.14,96.13,80.64,6.85
358,Dryden,1,CA,1536375600,71,49.79,-92.84,50.0,8.05
359,Chicama,90,PE,1536376200,93,-7.84,-79.15,62.6,11.41
360,Vila Franca do Campo,75,PT,1536377400,94,37.72,-25.43,69.8,3.36
361,Plastun,80,RU,1536378890,67,44.76,136.29,61.47,5.06
362,Lima,12,PE,1536378891,79,-12.06,-77.04,53.46,1.81
363,Yala,20,TH,1536375600,66,6.54,101.28,86.0,9.17
364,Simao,92,CN,1536378891,94,22.76,100.79,70.02,1.92
365,Santa Maria,0,BR,1536375600,93,-29.69,-53.81,53.6,3.36
366,Severobaykalsk,0,RU,1536378892,50,55.65,109.32,41.58,2.71
367,Oksfjord,20,NO,1536375000,76,70.24,22.35,48.2,10.29
368,Lerwick,80,GB,1536376800,93,60.15,-1.15,55.4,3.36
369,Aparecida do Taboado,0,BR,1536378893,59,-20.08,-51.1,66.33,6.96
370,Carora,20,VE,1536378894,95,10.17,-70.08,67.23,2.71
371,Kinango,75,KE,1536375600,94,-4.13,39.32,73.4,5.82
372,Prince Rupert,90,CA,1536375600,93,54.32,-130.32,57.2,2.24
373,Charcas,92,MX,1536378894,100,23.13,-101.11,57.69,3.71
374,Yanaul,76,RU,1536378895,88,56.27,54.93,53.55,2.93
375,Lavrentiya,0,RU,1536378895,92,65.58,-170.99,48.87,9.53
